Date,Open,High,Low,Close,Adj Close,Volume,3M,5M
2015-12-22,25600,25840,25340,25840,21605.05664,10309600,21460.12891,21534.82227
2015-12-23,25840,25980,25640,25900,21655.22266,10357400,21554.88932,21521.44453
2015-12-24,25900,26000,25700,25700,21487.99805,7807550,21582.75911,21504.72148
2015-12-28,25700,25780,25320,25320,21170.2793,11361500,21437.83333,21464.58906
2015-12-29,25300,25320,24820,25080,21306.20508,11647200,21321.49414,21444.95234
2015-12-30,25200,25440,25080,25200,21408.14844,10197900,21294.8776,21405.5707
2016-01-04,25200,25200,24100,24100,20473.66211,15346950,21062.67188,21169.25859
2016-01-05,24040,24360,23720,24160,20524.63672,10800100,20802.14909,20976.58633
2016-01-06,24160,24160,23360,23500,19963.94531,18337600,20320.74805,20735.31953
2016-01-07,23320,23660,23020,23260,19760.05859,14119400,20082.88021,20426.09023
2016-01-08,23260,23720,23260,23420,19895.98242,12888150,19873.32878,20123.65703
2016-01-11,23120,23320,22920,23040,19573.16211,12063850,19743.06771,19943.55703
2016-01-12,22960,23320,22880,22920,19471.2207,10314150,19646.78841,19732.87383
2016-01-13,23060,23180,22960,22960,19505.19922,7165800,19516.52734,19641.12461
2016-01-14,22620,22840,22620,22760,19335.29883,10451100,19437.23958,19556.17266
2016-01-15,22800,23040,22480,22640,19233.34961,10473200,19357.94922,19423.64609
2016-01-18,21760,22660,21760,22520,19131.4043,16010700,19233.35091,19335.29453
2016-01-19,22560,23420,22560,23420,19895.98242,10362100,19420.24544,19420.24688
2016-01-20,23200,23200,22640,22760,19335.29883,8352600,19454.22852,19386.2668
2016-01-21,22660,23100,22500,22620,19216.35742,9517600,19482.54622,19362.47852
2016-01-22,22900,23360,22900,23360,19845.01172,7376400,19465.55599,19484.81094
2016-01-25,23440,23520,23120,23240,19743.06641,7995650,19601.47852,19607.14336
2016-01-26,23100,23140,22720,22740,19318.30078,7619950,19635.45964,19491.60703
2016-01-27,22520,23500,22520,23500,19963.94531,13811850,19675.10417,19617.33633
2016-01-28,23280,23360,22780,22900,19454.22461,15795600,19578.82357,19664.90977
2016-01-29,22800,23000,22320,23000,19539.18164,21849150,19652.45052,19603.74375
2016-02-01,23040,23260,23020,23260,19760.05859,12998950,19584.48828,19607.14219
2016-02-02,23220,23320,22940,23120,19641.12695,8317400,19646.78906,19671.70742
2016-02-03,23000,23040,22740,22920,19471.2207,8725350,19624.13542,19573.1625
2016-02-04,23000,23220,22960,23120,19641.12695,12397950,19584.49154,19610.54297
2016-02-05,23120,23380,23120,23280,19777.05078,9404700,19629.79948,19658.1168
2016-02-11,22360,22740,22360,22600,19199.36914,15263100,19539.18229,19545.97891
2016-02-12,22600,23020,22440,22600,19199.36914,12811600,19391.92969,19457.62734
2016-02-15,23080,23200,22880,23080,19607.14258,9157300,19335.29362,19484.81172
2016-02-16,23160,23580,23140,23360,19845.01172,9020050,19550.50781,19525.58867
2016-02-17,23580,24020,23380,23700,20133.85156,12303100,19862.00195,19596.94883
2016-02-18,24060,24060,23560,23740,20167.83398,11124050,20048.89909,19790.6418
2016-02-19,23740,23900,23480,23800,20218.80273,8842600,20173.49609,19994.52852
2016-02-22,23800,23840,23320,23500,19963.94531,8744950,20116.86068,20065.88906
2016-02-23,23580,23780,23460,23620,20065.88867,7383700,20082.87891,20110.06445
2016-02-24,23560,23580,23220,23440,19912.9707,7024200,19980.9349,20065.88828
2016-02-25,23440,23740,23440,23580,20031.9082,6681750,20003.58919,20038.70313
2016-02-26,23600,23740,23440,23440,19912.9707,8867200,19952.61654,19977.53672
2016-02-29,23580,23880,23520,23560,20014.91797,14434000,19986.59896,19987.73125
2016-03-02,24000,24140,23920,23940,20337.73633,11818600,20088.54167,20042.10078
2016-03-03,24260,24400,24040,24400,20728.51758,10949550,20360.39063,20205.21016
2016-03-04,24400,24560,24040,24300,20643.57031,10074500,20569.94141,20327.54258
2016-03-07,24400,24620,24300,24460,20779.49414,6568800,20717.19401,20500.84727
