"구분(1)",구분(2),구분(3),구분(4),2020.09,2020.10,2020.11,2020.12,2021.01,2021.02
"도시대기",충남,아산,모종동,0.3,0.4,0.5,0.5,0.5,0.5
"도시대기",충남,아산,배방읍,0.3,0.4,0.4,0.5,0.5,0.5
"도시대기",충남,아산,도고면,0.5,0.6,0.6,0.5,0.5,0.4
"도시대기",충남,아산,둔포면,0.4,0.4,0.5,0.5,0.4,0.4
"도시대기",충남,아산,인주면,0.3,0.4,0.4,0.5,0.5,0.5
"도시대기",충남,논산,논산,0.5,0.6,0.6,0.6,0.5,0.6
"도시대기",충남,논산,연무읍사무소,0.5,0.7,0.7,0.6,0.6,0.6
"도시대기",충남,태안,이원면,0.3,0.4,0.6,0.5,0.5,0.5
"도시대기",충남,태안,태안읍,0.4,0.4,0.6,0.6,0.5,0.4
"도시대기",충남,보령,대천2동,0.4,0.3,0.7,0.3,0.5,0.5
"도시대기",충남,보령,주교면,0.4,0.6,0.7,0.7,0.7,0.7
"도시대기",충남,홍성,홍성읍,0.4,0.4,0.4,0.4,0.4,0.4
"도시대기",충남,홍성,내포,0.4,0.4,0.4,0.5,0.5,0.6
"도시대기",충남,공주,공주,0.3,0.4,0.4,0.4,0.3,0.3
"도시대기",충남,공주,탄천면,0.4,0.4,0.4,0.4,0.4,0.4
"도시대기",충남,부여,부여읍,0.6,0.5,0.6,0.6,0.4,0.3
"도시대기",충남,청양,청양읍,0.3,0.4,0.4,0.4,0.4,0.3
"도시대기",충남,청양,정산면사무소,0.5,0.6,0.6,0.6,0.7,0.5
"도시대기",충남,금산,금산읍,0.4,0.4,0.4,0.5,0.5,0.5
"도시대기",충남,예산,예산군,0.3,0.4,0.5,0.4,0.5,0.5
"도시대기",충남,계룡,엄사면,0.4,0.5,0.5,0.5,0.6,0.5
"도시대기",충남,서천,서천읍,0.4,0.4,0.5,0.5,0.5,0.5
"도시대기",충남,서천,서면,0.4,0.4,0.5,0.5,0.4,0.4
"도시대기",충남,서천,장항읍,0.3,0.5,0.5,0.6,0.5,0.5
"도시대기",전북,임실,임실읍,0.3*,0.4*,0.4,0.4,0.5,0.4
"도시대기",전북,임실,관촌면,-,-,-,-,0.5,0.4
"도시대기",전북,전주,삼천동,0.4,0.4,0.4,0.5,0.5,0.5
"도시대기",전북,전주,팔복동,0.3,0.3,0.3,0.6,0.6,0.5
"도시대기",전북,전주,노송동,0.5,0.5,0.6,0.6,0.5,0.4
"도시대기",전북,전주,송천동,0.4,0.4,0.4,0.4,0.4,0.4
"도시대기",전북,전주,혁신동,0.4,0.4,0.5,0.4,0.5,0.6
"도시대기",전북,군산,신풍동,0.5,0.5,0.5,0.5,0.6,0.4
"도시대기",전북,군산,소룡동,0.3,0.4,0.4,0.4,0.4,0.4
"도시대기",전북,군산,개정동,0.4*,0.5,0.5,0.5,0.4,0.4
"도시대기",전북,군산,옥산면,0.4,0.4,0.5,0.5,0.5,0.5
"도시대기",전북,군산,비응도동,0.4,0.5,0.5,0.5,0.5,0.5
"도시대기",전북,익산,함열읍,0.3,0.0,0.0,0.0,0.0,0.0
"도시대기",전북,익산,팔봉동,0.4,0.4,0.4,0.4,0.4,0.4
"도시대기",전북,익산,모현동,0.3,0.4,0.4,0.4,0.4,0.4
"도시대기",전북,익산,삼기면,0.3,0.3,0.3,0.3,0.3,0.4
