"구분(1)",구분(2),구분(3),구분(4),2015.01,2015.02,2015.03,2015.04,2015.05,2015.06,2015.07,2015.08,2015.09,2015.10,2015.11,2015.12
"도시대기",경기,용인,기흥,57,90,78,46,50,38,27,51**,36,59,38,54
"도시대기",경기,김포,사우동,57,96,78,52,50,38,32,39*,-,57,43,61
"도시대기",경기,김포,고촌읍,70,111,93,61,56,44,36,37,39,-,44*,75
"도시대기",경기,김포,통진읍,57,98,84,58,51,44,32,37,33,53,49,69
"도시대기",경기,오산,오산동,57,81,77,49,52,41,33,46**,38,61,44,57
"도시대기",경기,하남,신장동,53,78,64,39,40,31,61**,39,28,49,38,65
"도시대기",경기,화성,남양읍,72,96,90,64,65,55,48,49,43,-,-,-
"도시대기",경기,화성,향남,54,69,64,47,51,44,45,43,37,-,45*,75
"도시대기",경기,화성,동탄동,54,82,70,43,48,37,30,32,-,67**,39,54
"도시대기",경기,양주,광적면,65,88,82,50,-,-,-,-,-,-,-,-
"도시대기",경기,양주,백석읍,-,-,-,-,46,38,32,37,32*,-,40*,87
"도시대기",경기,동두천,보산동,75,103,100,65,62,46,44,43,-,60,41,71
"도시대기",경기,안성,봉산동,56,79,84,49,59,41,32,39,30,-,31*,51
"도시대기",경기,이천,창전동,49,97,89,57,69,53,47,52,41**,-,28*,54
"도시대기",경기,파주,금촌동,59,108,91,59,57,46,70**,36,41,62,44,65
"도시대기",경기,파주,운정,-,-,-,50,48,38,30,39**,39,57,44,69
"도시대기",경기,포천,선단동,76,97,89,58,57,44,43,47,39*,-,47*,95
"도시대기",경기,여주,여주,70,89,78,46*,64*,45,32,33,-,72*,42,60
"도시대기",경기,연천,연천,51,87,91,58,52,33,25,31,20**,-,33**,56
"도시대기",경기,가평,가평읍,59,94,80,46,47,29,20*,23,-,53**,35,49
"도시대기",경기,양평,양평군청,54,87,73,43,48,-,-,-,-,-,-,-
"도시대기",경기,양평,양평,-,-,-,-,-,33,24,-,26,45,34,50
"도시대기",강원,춘천,중앙로,57,89,74,43,45,29,27,33,27,30**,34*,67
"도시대기",강원,춘천,석사동,73,101,87,55,61,44,37,43,38,56,45,66*
"도시대기",강원,강릉,옥천동,48,74,72,55,54,43,34,37,34,47,39,46
"도시대기",강원,원주,중앙동,76,105,91,49,60,44,33,40**,24,46,39,61
"도시대기",강원,원주,명륜동,82,113,97,59,63,44,32,38,34,36**,37*,65
"도시대기",강원,동해,천곡동,39,64,66,51,52,38,26,36**,19,32,24,34
"도시대기",강원,삼척,남양동,36,53,55,44,52,46,38,67**,20,30,28,36
"도시대기",충북,청주,송정동,73,88,87,51,61,54,41,36,34,61,51,62
"도시대기",충북,청주,사천동,63,78,83,44,56,44,41**,37,35,69,57,65
"도시대기",충북,청주,문화동,67,85,83,46,56,46,32,33,22**,60,48,64
"도시대기",충북,청주,용암동,57,75,68,37,46,36,36**,40,31,52,36,51
"도시대기",충북,청주,오창읍,71,93,89,53,66,56,44,43,32**,44,35,50
"도시대기",충북,충주,호암동,40,62,56,33,38,31,29**,17*,-,49*,30,45
"도시대기",충북,충주,칠금동,69,93,85,49,52,38,24,32,-,44,34,55
"도시대기",충북,제천,장락동,50,85,76,43,51,37,24,30,23,44,33,53
"도시대기",충북,단양,매포읍,55,69,60,37,46,35,25,29,-,43,33,45
"도시대기",충남,천안,성황동,51,72,59,35,42,61,40,38,32,54,41,49
"도시대기",충남,천안,백석동,61,84,83,47,51,42,30,35**,31,59,43,53
"도시대기",충남,당진,난지도리,32,63,61,45,45,45,46**,28,25,33,28,32
"도시대기",충남,당진,정곡리,46,67,64,42,45,38,40**,40,40,56,43,50
"도시대기",충남,서산,독곶리,45,59,62,45,43,36,41**,44,43,55,43,49
"도시대기",충남,서산,동문동,55,83,75,46,46,40,33,37,33,52,34,30
"도시대기",충남,아산,모종동,32,46,58,42,49,34,22,32**,12,23,44,53
"도시대기",전북,전주,삼천동,52,72,77,46,50,44,33,35,31,56,46,66
"도시대기",전북,전주,팔복동,54,71,75,44,46,44,33,32,29,14**,44*,62
"도시대기",전북,전주,태평동,55,76,76,45,51,47,30,26,24,8**,38*,56
"도시대기",전북,군산,신풍동,49,68,67,42,44,38,30,31,26,26**,39**,54
"도시대기",전북,군산,소룡동,57,76,79,50,48,44,35,35,31,53,38,45
"도시대기",전북,군산,개정동,51,70,74,43,41,38,28,30,25,28**,33**,49
"도시대기",전북,익산,남중동,57,74,84,51,57,57,34,34,-,71,48,57
"도시대기",전북,익산,팔봉동,57,76,91,51,60,54,33,32,21**,67,48,60
"도시대기",전북,익산,모현동,56,75,84,53,57,50,32,31,32**,76,56,60
"도시대기",전북,남원,죽항동,55,75,74,46,51,55,41,34,-,50,33,44
"도시대기",전북,정읍,연지동,53,70,74,43,50,49,38,37,-,61*,42,55
"도시대기",전북,고창,고창군,53,68,74,45,-,-,-,-,-,-,-,-
"도시대기",전북,고창,고창읍,-,-,-,-,45,42,33,35,-,58,46,48
"도시대기",전북,부안,부안읍,-,-,-,-,49,48,36,36,35,59,47,51
"도시대기",전남,여수,광무동,30,47,40,30,35,33,34**,26,21,36,24,32
"도시대기",전남,여수,월내동,35,54,53,41,47,43,35,37,29*,59**,30,38
"도시대기",전남,여수,문수동,29,45,39,29,33,30,25,25*,22**,34,23,31
"도시대기",전남,여수,여천동,42,61,52,41,45,41,34,36,26**,36*,27**,35
"도시대기",전남,여수,덕충동,33,51,42,30,34,32,32**,24,18,31,20,28
"도시대기",전남,광양,중동,34,50,50,34,41,39,32,32,25,39,25,33
"도시대기",전남,광양,태인동,39,56,56,40,50,47,40,39,34,47,34,39
"도시대기",전남,광양,진상면,48,63,53,46,55,58,42,40*,23**,43,30,38
"도시대기",전남,광양,광양읍,38,52,47,33,35,35,25,25**,20,37,25,36
"도시대기",전남,순천,장천동,28,47,47,42,44,51,43**,31,23,31,28,37
"도시대기",전남,순천,연향동,38,54,49,35,38,38,29,31**,27,46,29,37
"도시대기",전남,순천,순천만,35,52,45,33,36,34,28,29,32**,44,29,36
"도시대기",전남,순천,호두리,32,47,41,30,33,34*,29**,25,20,35,25,32
"도시대기",전남,목포,용당동,35,36,41,40,39,40,33,32,27*,74**,40,46
"도시대기",전남,목포,부흥동,43,56,60,42,33,33,27,30**,24,45,33,38
"도시대기",전남,영암,나불리,55,68,73,57,53,55,54,45,39**,60,44,43
"도시대기",경북,포항,장흥동,62,84,85,68,73,67,55,51,41,42**,38*,-
"도시대기",경북,포항,죽도동,28,43,38,31,34,26,20,22,-,36**,26,-
"도시대기",경북,포항,대도동,42,65,59,44,49,43,36,42,-,33*,23,28
"도시대기",경북,포항,대송면,37,54,51,41,42,40,31,31,23,30,23,27
"도시대기",경북,포항,3공단,43,62,60,48,48,43,28,-,40*,53,44,45
"도시대기",경북,구미,공단동,42,54,50,39**,56,55,42,47,42,44**,39,54
"도시대기",경북,구미,원평동,55,72,70,43,50,42,31,35,25,38,28,36
"도시대기",경북,구미,형곡동,56,73,69,41,52,48,31,32,31,38**,24*,44
"도시대기",경북,구미,4공단,66,80,72,45,50,42,27,-,30*,52,44,62
"도시대기",경북,김천,신음동,50,76,77,47,50,46,31,-,26*,48,39,51
"도시대기",경북,경주,성건동,54,61,54,48,51,54,43,-,17*,24,18,25
"도시대기",경북,안동,남문동,48,74,59,38,46,33,23,30,23,35,30,47
"도시대기",경북,영주,휴천2동,59,82,79*,42,44,32,24,26,-,49*,39,61
"도시대기",경북,경산,중방동,53,71,68,46,47,44,35,31,-,55*,37,56
"도시대기",경남,창원,명서동,43,57,50,42,45,39,28,30,26,43,36,46
"도시대기",경남,창원,웅남동,38,53,47,39,36,39,33,33,28*,50**,34,38
"도시대기",경남,창원,가음정동,52,67,64,50,53,51,39,35,31,47*,37**,50
"도시대기",경남,창원,용지동,55,71,61,54,60,60,60**,49,36,54,44,52
"도시대기",경남,창원,사파동,47,61,50,38,42,44,31,59**,37,49,37,49
"도시대기",경남,창원,경화동,-,66,57,47,49,54*,47**,40,-,44,31,38
"도시대기",경남,창원,회원동,48,61,53,48,56,52,45,41,29*,53**,37,49
"도시대기",경남,창원,봉암동,51,71,65,56,66,60,47,46,22**,35,36,31
"도시대기",경남,진주,상봉동,48,67,59,48,56,56,46,47,36,52,35,43
"도시대기",경남,진주,대안동,56,71,67,53,51,46,36,34,31*,58**,38,35
"도시대기",경남,진주,상대동,57,73,67,55,61,57,43,35**,42,64,40,50
"도시대기",경남,하동,하동읍,50,69,67,49,55,55,46,45,25**,48,29,39
"도시대기",경남,김해,동상동,48,59,53,42,51,47,37,39,31,41,35,46
"도시대기",경남,김해,삼방동,41,59,51,40,45,42,38,38,35**,39,39,44
"도시대기",경남,김해,장유동,43,57,51,38,44,42*,48**,31,23,38,28,36
"도시대기",경남,양산,북부동,62,85,73,65,72,65*,57**,37,30,44,32,48
"도시대기",경남,양산,웅상읍,41,55,52,46,50,44,36,39,-,36*,24**,41
"도시대기",경남,거제,아주동,39,56,53,44,46,48,35,44**,35,43,35,40
"도시대기",경남,사천,사천읍,43,60,50,33,40,39,32,32,24,32*,30**,43
"도시대기",제주,제주,이도동,50,64,66,49,45,40,35*,39,28,45,36*,43
"도시대기",제주,제주,연동,51,63,58,46,39,41,37,39,37,56,45,42
